label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 8	 0	 0.3846154	 1.0	 0.5555555
NA           0	 0	 3	 0.0	 0.0	 0.0
SD           0	 0	 3	 0.0	 0.0	 0.0
VC           0	 0	 1	 0.0	 0.0	 0.0
CC           0	 0	 3	 0.0	 0.0	 0.0
AR           0	 0	 2	 0.0	 0.0	 0.0
SN           3	 1	 0	 0.75	 1.0	 0.85714287
LR           2	 3	 0	 0.4	 1.0	 0.5714286
tp: 10 fp: 12 fn: 12 labels: 8
Macro-average	 prec: 0.19182692, rec: 0.375, f1: 0.25381678
Micro-average	 prec: 0.45454547, recall: 0.45454547, f1: 0.45454547
