label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           4	 3	 1	 0.5714286	 0.8	 0.6666667
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 0	 0	 1.0	 1.0	 1.0
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 32 fp: 8 fn: 8 labels: 8
Macro-average	 prec: 0.8276786, rec: 0.75624996, f1: 0.7903537
Micro-average	 prec: 0.8, recall: 0.8, f1: 0.8000001
