label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 6	 0	 0.5714286	 1.0	 0.72727275
AR           4	 2	 2	 0.6666667	 0.6666667	 0.6666667
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 3	 1	 0.4	 0.6666667	 0.5
tp: 27 fp: 13 fn: 13 labels: 9
Macro-average	 prec: 0.44867727, rec: 0.5185185, f1: 0.48107627
Micro-average	 prec: 0.675, recall: 0.675, f1: 0.675
