label        tp	 fp	 fn	 prec	 rec	 f1
DA           8	 1	 1	 0.8888889	 0.8888889	 0.8888889
NAV          2	 2	 1	 0.5	 0.6666667	 0.57142854
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           3	 1	 1	 0.75	 0.75	 0.75
CC           7	 9	 0	 0.4375	 1.0	 0.6086956
AR           0	 0	 6	 0.0	 0.0	 0.0
SN           0	 0	 3	 0.0	 0.0	 0.0
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 22 fp: 18 fn: 18 labels: 8
Macro-average	 prec: 0.3577629, rec: 0.4965278, f1: 0.41587535
Micro-average	 prec: 0.55, recall: 0.55, f1: 0.55
