label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 2	 0	 0.8181818	 1.0	 0.90000004
NAV          1	 0	 2	 1.0	 0.33333334	 0.5
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 6	 0	 0.5714286	 1.0	 0.72727275
AR           3	 1	 3	 0.75	 0.5	 0.6
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 5	 1	 0.2857143	 0.6666667	 0.4
tp: 26 fp: 14 fn: 14 labels: 9
Macro-average	 prec: 0.4917027, rec: 0.5, f1: 0.49581665
Micro-average	 prec: 0.65, recall: 0.65, f1: 0.65
