label        tp	 fp	 fn	 prec	 rec	 f1
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          2	 0	 1	 1.0	 0.6666667	 0.8
SD           1	 1	 4	 0.5	 0.2	 0.2857143
VC           3	 0	 1	 1.0	 0.75	 0.85714287
CC           7	 1	 0	 0.875	 1.0	 0.93333334
AR           4	 5	 2	 0.44444445	 0.6666667	 0.5333333
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 1	 1	 0.6666667	 0.6666667	 0.6666667
tp: 31 fp: 9 fn: 9 labels: 8
Macro-average	 prec: 0.7982639, rec: 0.74375, f1: 0.7700433
Micro-average	 prec: 0.775, recall: 0.775, f1: 0.775
