label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 1	 3	 0.8333333	 0.625	 0.71428573
NAV          0	 3	 0	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           0	 0	 2	 0.0	 0.0	 0.0
CC           1	 6	 0	 0.14285715	 1.0	 0.25
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 2	 0	 0.71428573	 1.0	 0.8333334
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 14 fp: 12 fn: 12 labels: 9
Macro-average	 prec: 0.2989418, rec: 0.4027778, f1: 0.3431773
Micro-average	 prec: 0.53846157, recall: 0.53846157, f1: 0.53846157
