label        tp	 fp	 fn	 prec	 rec	 f1
DA           2	 8	 0	 0.2	 1.0	 0.3333333
NAV          8	 2	 1	 0.8	 0.8888889	 0.84210527
NA           0	 0	 4	 0.0	 0.0	 0.0
SD           0	 0	 4	 0.0	 0.0	 0.0
VC           0	 0	 3	 0.0	 0.0	 0.0
CC           0	 0	 1	 0.0	 0.0	 0.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           4	 3	 0	 0.5714286	 1.0	 0.72727275
LR           9	 1	 0	 0.9	 1.0	 0.9473684
tp: 23 fp: 14 fn: 14 labels: 9
Macro-average	 prec: 0.27460316, rec: 0.43209875, f1: 0.33580124
Micro-average	 prec: 0.6216216, recall: 0.6216216, f1: 0.6216216
