label        tp	 fp	 fn	 prec	 rec	 f1
DA           5	 0	 3	 1.0	 0.625	 0.7692308
NAV          0	 3	 0	 0.0	 0.0	 0.0
NA           0	 0	 1	 0.0	 0.0	 0.0
SD           0	 0	 5	 0.0	 0.0	 0.0
VC           2	 6	 0	 0.25	 1.0	 0.4
CC           1	 0	 0	 1.0	 1.0	 1.0
AR           0	 0	 1	 0.0	 0.0	 0.0
SN           5	 1	 0	 0.8333333	 1.0	 0.90909094
LR           3	 0	 0	 1.0	 1.0	 1.0
tp: 16 fp: 10 fn: 10 labels: 9
Macro-average	 prec: 0.45370367, rec: 0.5138889, f1: 0.48192447
Micro-average	 prec: 0.61538464, recall: 0.61538464, f1: 0.61538464
