label        tp	 fp	 fn	 prec	 rec	 f1
SV           0	 0	 3	 0.0	 0.0	 0.0
DA           9	 1	 0	 0.9	 1.0	 0.9473684
NAV          1	 1	 2	 0.5	 0.33333334	 0.4
SD           0	 0	 4	 0.0	 0.0	 0.0
RV           0	 0	 1	 0.0	 0.0	 0.0
CC           8	 6	 0	 0.5714286	 1.0	 0.72727275
AR           5	 2	 1	 0.71428573	 0.8333333	 0.7692307
SN           3	 0	 0	 1.0	 1.0	 1.0
LR           2	 2	 1	 0.5	 0.6666667	 0.57142854
tp: 28 fp: 12 fn: 12 labels: 9
Macro-average	 prec: 0.46507937, rec: 0.5370371, f1: 0.49847472
Micro-average	 prec: 0.7, recall: 0.7, f1: 0.7
